Date,^HSI,^GSPC,^FTSE,XWD.TO,XEM.TO
2020-01-02,28543.51953125,3257.85009765625,7604.2998046875,54.17257308959961,31.749753952026367
2020-01-03,28451.5,3234.85009765625,7622.39990234375,53.82338333129883,31.220911026000977
2020-01-06,28226.189453125,3246.280029296875,7575.2998046875,53.82338333129883,31.01898956298828
2020-01-07,28322.060546875,3237.179931640625,7573.89990234375,53.89128112792969,31.192068099975586
2020-01-08,28087.919921875,3253.050048828125,7574.89990234375,54.2404670715332,31.38437271118164
2020-01-09,28561.0,3274.699951171875,7598.10009765625,54.67695617675781,31.720911026000977
2020-01-10,28638.19921875,3265.35009765625,7587.89990234375,54.5605583190918,31.817062377929688
2020-01-13,28954.939453125,3288.1298828125,7617.60009765625,54.754547119140625,32.35552215576172
2020-01-14,28885.140625,3283.14990234375,7622.39990234375,54.78364562988281,32.13436508178711
2020-01-15,28773.58984375,3289.2900390625,7642.7998046875,54.77395248413086,31.845903396606445
2020-01-16,28883.0390625,3316.81005859375,7609.7998046875,55.13283920288086,32.04783630371094
2020-01-17,29056.419921875,3329.6201171875,7674.60009765625,55.414127349853516,32.26898193359375
2020-01-20,28795.91015625,,7651.39990234375,55.28803634643555,32.143985748291016
2020-01-21,27985.330078125,3320.7900390625,7610.7001953125,55.2783317565918,31.547834396362305
2020-01-22,28341.0390625,3321.75,7571.89990234375,55.579017639160156,31.884366989135742
2020-01-23,27909.119140625,3325.5400390625,7507.7001953125,55.52082443237305,31.634370803833008
2020-01-24,27949.640625,3295.469970703125,7586.0,55.2104377746582,31.31706428527832
2020-01-29,27160.630859375,3273.39990234375,7483.60009765625,54.96794128417969,30.817066192626953
2020-01-30,26449.130859375,3283.659912109375,7382.0,55.0455436706543,30.26899528503418
2020-01-31,26312.630859375,3225.52001953125,7286.0,54.17257308959961,29.701692581176758
2020-02-03,26356.98046875,3248.919921875,7326.2998046875,54.812747955322266,30.288225173950195
2020-02-04,26675.98046875,3297.590087890625,7439.7998046875,55.55962371826172,31.028606414794922
2020-02-05,26786.740234375,3334.68994140625,7482.5,56.18040084838867,31.24014663696289
2020-02-06,27493.69921875,3345.780029296875,7504.7998046875,56.422889709472656,31.3362979888916
2020-02-07,27404.26953125,3327.7099609375,7466.7001953125,56.06400680541992,30.807456970214844
2020-02-10,27241.33984375,3352.090087890625,7446.89990234375,56.41319274902344,31.057451248168945
2020-02-11,27583.880859375,3357.75,7499.39990234375,56.53929138183594,31.36513900756836
