Date,^HSI,^GSPC,^FTSE,XWD.TO,XEM.TO
2020-01-02,100.0,100.0,100.0,100.0,100.0
2020-01-03,99.67761673135908,99.29401294379547,100.23802451403998,99.35541227158762,98.3343400807941
2020-01-06,98.88825875947926,99.6448557173426,99.61863681410715,99.35541227158762,97.69836204040426
2020-01-07,99.22413567768844,99.36552740623347,99.6002274617709,99.48074838312614,98.243495515293
2020-01-08,98.40384221407524,99.85266207209538,99.61337791645686,100.12532906978832,98.84918402392404
2020-01-09,100.06124146229011,100.51720776004234,99.91847103361931,100.93106725117889,99.90915543449889
2020-01-10,100.33170291910338,100.23021317050147,99.78433382737434,100.71620232779135,100.21199668509252
2020-01-13,101.44137768793568,100.92944071238985,100.17490489999554,101.07429644993687,101.90794613605718
2020-01-14,101.19684292392878,100.77657976669035,100.23802451403998,101.12801092034618,101.21138302470591
2020-01-15,100.80603344043861,100.9650518122018,100.50629250540948,101.11011783312671,100.30283524314979
2020-01-16,101.18948026321102,101.8097812720087,100.07232750077277,101.77260569050874,100.93884932820258
2020-01-17,101.7969066150496,102.20298716576562,100.92448081709529,102.2918502656324,101.63537639489091
2020-01-20,100.88423091876837,,100.61938769993282,102.05909225502543,101.24168457135237
2020-01-21,98.0444266779579,101.93194712830802,100.08416804688652,102.04117804255542,99.36402796705399
2020-01-22,99.29062543065749,101.96141321510528,99.57392655239897,102.59622991736859,100.42398135529736
2020-01-23,97.777427587616,102.07774880295896,98.7296712142326,102.48880801830009,99.63658569333262
2020-01-24,97.91939145556381,101.1547453663979,99.75934924769511,101.9158489727671,98.63718733883154
2020-01-29,95.1551571264329,100.47730264503842,98.41274397207685,101.46821195527221,97.06237799257059
2020-01-30,92.66247223093136,100.79223456204119,97.0766564917592,101.61146227928074,95.33615703217858
2020-01-31,92.1842551005927,99.00762536163776,95.81421284190701,100.0,93.54936301571277
2020-02-03,92.33963050665096,99.72588745603505,96.34417359730303,101.1817324325057,95.39672408080853
2020-02-04,93.45722218854132,101.2198225530071,97.83675020415953,102.56042965942926,97.72865157216307
2020-02-05,93.84526041033011,102.35860587340343,98.39827718769821,103.70635479224548,98.39492515175554
2020-02-06,96.32203621087919,102.69901711266223,98.69152975874694,104.15397772624,98.69776640234915
2020-02-07,96.0087262583273,102.14435474890354,98.19050257210822,103.49149691060815,97.03211249058708
2020-02-10,95.43791477405459,102.89270492531786,97.93011971665393,104.13607759727033,97.819502145108
2020-02-11,96.63798057270279,103.0664364335124,98.62051858766685,104.36884969137769,98.78860496040643
2020-02-12,97.47802868454298,103.732518374713,99.08078450167547,104.63741500167419,99.96972248312885
2020-02-13,97.14989761385472,103.56338813236118,97.99718831977641,104.42255712003686,98.72804391922031
2020-02-14,97.44978918567467,103.7543106891602,97.4330350979728,104.333035349938,98.39492515175554
2020-02-17,97.95428198251545,,97.75127224870079,,
2020-02-18,96.44991112118953,103.45135405361778,97.0766564917592,103.9570270153225,98.09205987138664
2020-02-19,96.88998063674971,103.93817397491065,98.06294059320622,104.26140666705865,98.63718733883154
2020-02-20,96.72654462258221,103.54159581791397,97.79467260183672,104.02864161470148,97.24409716079194
2020-02-21,95.67429313325142,102.45253464550844,97.36465016515764,102.77528754106662,97.03211249058708
2020-02-24,93.96486943388666,99.01897864787831,94.11517152803275,99.76722790589264,93.24651575767533
2020-02-25,94.21834066155286,96.02068441356417,92.28857465637695,97.22470541718322,92.64082724904429
2020-02-26,93.52907655675455,95.6578663585567,92.61207712587567,97.13518364708438,93.45851244276784
2020-02-27,93.81680879019578,91.43330480148836,89.37574894343673,96.18621626693586,93.21623824080419
2020-02-28,91.54417575902805,90.68004610858058,86.53788339065468,93.55416496637741,91.76256299180314
2020-03-02,92.11085429992387,94.85488551765815,87.51495960537335,95.98925851426817,92.7619613463042
2020-03-03,92.0868230132688,92.18871424895127,88.34738723966692,94.12711697016023,92.61054372472931
2020-03-04,91.86698327020103,96.07931683042627,89.62824024185535,97.90509340353489,94.3670482094363
2020-03-05,93.77914700154274,92.82010684229213,88.17905756701434,95.1835273746278,93.24651575767533
2020-03-06,91.60282386777537,91.23716647754514,84.98612973771135,93.42882181308872,90.43004586983731
2020-03-09,87.7273067537632,84.30590654154621,78.452979997054,87.86033956023566,86.61417162005442
2020-03-10,88.96068243380003,88.47030692241711,78.37934258770898,92.1933678684235,90.70260960355976
2020-03-11,88.39698043325016,84.146900582832,77.27864696204591,87.64548167859833,86.82616830514691
2020-03-12,85.16493660105915,76.1434632723813,68.87550641771726,79.67770613579381,78.61902082870886
2020-03-13,84.19743097881921,83.21500186523627,70.56665617455586,85.46105331203438,84.03997593418005
2020-03-16,80.80142425060636,73.24247007341192,67.73930841707437,77.11728351811472,75.25742347342592
2020-03-17,81.50266978562478,77.63371136154454,69.6303412324673,83.16920304640196,80.61781153026716
2020-03-18,78.09765816753776,73.60989688818039,66.81220136171417,79.1047400485106,75.16656689303717
2020-03-19,76.05625100158872,73.95643815261724,67.74588364441736,80.66248785738203,76.46880649813184
2020-03-20,79.89578961183314,70.74972306224883,68.26137761543472,77.17099798852406,76.16595323265058
2020-03-23,76.01070651298504,68.67719002643405,65.67205437199323,75.8818295734495,74.95457621538849
2020-03-24,79.39977482301217,75.12101553983864,71.61737621974,82.63205130055844,80.19382416752599
2020-03-25,82.42567784034823,75.98753731409275,74.80241891312777,82.56042965942927,82.37432202241799
2020-03-26,81.813105837153,80.73023587707397,76.47910188558771,85.98031197065843,83.34343084516024
2020-03-27,82.27534544632435,78.01064795864916,72.46294788759906,83.07968127630315,78.7401609334126
